"Date","count","covid_case","covid_trend"
2010-05-17,2733,0,0
2010-05-18,2782,0,0
2010-05-19,2854,0,0
2010-05-20,2477,0,0
2010-05-21,1260,0,0
2010-05-22,1372,0,0
2010-05-23,1085,0,0
2010-05-24,2751,0,0
2010-05-25,2835,0,0
2010-05-26,2729,0,0
2010-05-27,2484,0,0
2010-05-28,2712,0,0
2010-05-29,1327,0,0
2010-05-30,1235,0,0
2010-05-31,2776,0,0
2010-06-01,2774,0,0
2010-06-02,1371,0,0
2010-06-03,2537,0,0
2010-06-04,2771,0,0
2010-06-05,1352,0,0
2010-06-06,1234,0,0
2010-06-07,2751,0,0
2010-06-08,2760,0,0
2010-06-09,2714,0,0
2010-06-10,2424,0,0
2010-06-11,2608,0,0
2010-06-12,1307,0,0
2010-06-13,1108,0,0
2010-06-14,2625,0,0
2010-06-15,2767,0,0
2010-06-16,2688,0,0
2010-06-17,2514,0,0
2010-06-18,2716,0,0
2010-06-19,1304,0,0
2010-06-20,1176,0,0
2010-06-21,2748,0,0
2010-06-22,2795,0,0
2010-06-23,2677,0,0
2010-06-24,2479,0,0
2010-06-25,2694,0,0
2010-06-26,1353,0,0
2010-06-27,1094,0,0
2010-06-28,2790,0,0
2010-06-29,2785,0,0
2010-06-30,2691,0,0
2010-07-01,2599,0,0
2010-07-02,2560,0,0
2010-07-03,1351,0,0
2010-07-04,1167,0,0
2010-07-05,2817,0,0
2010-07-06,2795,0,0
2010-07-07,2828,0,0
2010-07-08,2661,0,0
2010-07-09,2682,0,0
2010-07-10,1366,0,0
2010-07-11,1161,0,0
2010-07-12,2800,0,0
2010-07-13,2749,0,0
2010-07-14,2714,0,0
2010-07-15,2554,0,0
2010-07-16,2569,0,0
2010-07-17,1261,0,0
2010-07-18,1045,0,0
2010-07-19,2655,0,0
2010-07-20,2520,0,0
2010-07-21,2650,0,0
2010-07-22,2442,0,0
2010-07-23,2514,0,0
2010-07-24,1266,0,0
2010-07-25,1189,0,0
2010-07-26,2431,0,0
2010-07-27,2630,0,0
2010-07-28,2510,0,0
2010-07-29,2359,0,0
2010-07-30,2431,0,0
2010-07-31,1316,0,0
2010-08-01,1111,0,0
2010-08-02,2420,0,0
2010-08-03,2607,0,0
2010-08-04,2626,0,0
2010-08-05,2447,0,0
2010-08-06,2532,0,0
2010-08-07,1269,0,0
2010-08-08,1226,0,0
2010-08-09,2830,0,0
2010-08-10,2656,0,0
2010-08-11,2708,0,0
2010-08-12,2425,0,0
2010-08-13,2569,0,0
2010-08-14,1328,0,0
2010-08-15,1064,0,0
2010-08-16,2723,0,0
2010-08-17,2859,0,0
2010-08-18,2753,0,0
2010-08-19,2584,0,0
2010-08-20,2816,0,0
2010-08-21,1421,0,0
2010-08-22,1221,0,0
2010-08-23,2793,0,0
2010-08-24,2839,0,0
2010-08-25,2778,0,0
2010-08-26,2578,0,0
2010-08-27,2717,0,0
2010-08-28,1397,0,0
2010-08-29,1049,0,0
2010-08-30,2846,0,0
2010-08-31,2916,0,0
2010-09-01,2903,0,0
2010-09-02,2348,0,0
2010-09-03,2947,0,0
2010-09-04,1421,0,0
2010-09-05,1302,0,0
2010-09-06,2870,0,0
2010-09-07,2923,0,0
2010-09-08,2876,0,0
2010-09-09,2649,0,0
2010-09-10,2752,0,0
2010-09-11,1388,0,0
2010-09-12,1201,0,0
2010-09-13,2800,0,0
2010-09-14,2845,0,0
2010-09-15,2832,0,0
2010-09-16,2508,0,0
2010-09-17,2765,0,0
2010-09-18,1426,0,0
